x_pixel,y_pixel,distance_cm
297,230,2.93135
298,230,2.93135
299,230,2.91588
300,230,2.91588
301,230,2.91588
302,230,2.91588
303,230,2.91588
304,230,2.90045
305,230,2.90045
306,230,2.88506
307,230,2.86971
308,230,2.8544
309,230,2.8544
310,230,2.8544
311,230,2.8544
312,230,2.8544
313,230,2.8544
314,230,2.8544
315,230,2.8544
316,230,2.8544
317,230,2.8544
318,230,2.86971
319,230,2.86971
320,230,2.88506
321,230,2.88506
322,230,2.88506
323,230,2.88506
324,230,2.88506
325,230,2.88506
326,230,2.88506
327,230,2.88506
328,230,2.90045
329,230,2.90045
330,230,2.91588
331,230,2.91588
332,230,2.90045
333,230,2.91588
334,230,2.94686
335,230,2.96242
336,230,2.94686
337,230,2.93135
338,230,2.93135
339,230,2.91588
340,230,2.91588
341,230,2.91588
342,230,2.91588
343,230,2.90045
344,230,2.90045
345,230,2.90045
346,230,2.90045
347,230,2.91588
348,230,2.90045
349,230,2.88506
350,230,2.88506
351,230,2.88506
352,230,2.88506
353,230,2.88506
354,230,2.90045
355,230,2.86971
356,230,2.86971
357,230,2.86971
358,230,2.86971
359,230,2.8544
360,230,2.8544
361,230,2.8544
362,230,2.8544
363,230,2.8544
364,230,2.83913
365,230,2.83913
366,230,2.83913
367,230,2.83913
368,230,2.83913
369,230,2.83913
370,230,2.83913
371,230,2.83913
372,230,2.83913
373,230,2.83913
374,230,2.82391
375,230,2.82391
376,230,2.82391
377,230,2.82391
378,230,2.83913
379,230,2.83913
380,230,2.83913
381,230,2.83913
382,230,2.83913
383,230,2.83913
384,230,2.83913
385,230,2.83913
386,230,2.83913
387,230,2.83913
388,230,2.83913
389,230,2.83913
390,230,2.83913
391,230,2.83913
392,230,2.82391
393,230,2.82391
394,230,2.82391
395,230,2.82391
396,230,2.82391
397,230,2.82391
398,230,2.82391
399,230,2.82391
400,230,2.82391
401,230,2.82391
402,230,2.82391
403,230,2.82391
404,230,2.82391
405,230,2.80872
406,230,2.80872
407,230,2.80872
408,230,2.80872
409,230,2.80872
410,230,2.80872
411,230,2.80872
412,230,2.80872
413,230,2.80872
414,230,2.80872
415,230,2.80872
416,230,2.80872
417,230,2.80872
418,230,2.80872
419,230,2.80872
420,230,2.80872
421,230,2.80872
422,230,2.80872
423,230,2.82391
424,230,2.82391
425,230,2.82391
426,230,2.82391
427,230,2.82391
428,230,2.82391
429,230,2.82391
430,230,2.82391
431,230,2.83913
432,230,2.83913
433,230,2.83913
434,230,2.83913
435,230,2.83913
436,230,2.83913
437,230,2.83913
438,230,2.8544
439,230,2.8544
440,230,2.8544
441,230,2.86971
442,230,2.86971
443,230,2.86971
444,230,2.88506
445,230,2.88506
446,230,2.90045
447,230,2.91588
448,230,2.91588
449,230,2.93135
450,230,2.93135
451,230,2.93135
452,230,2.94686
453,230,2.94686
454,230,2.96242
455,230,2.96242
456,230,2.97802
457,230,2.97802
458,230,2.99366
459,230,2.99366
460,230,3.00934
461,230,3.00934
462,230,3.02507
463,230,3.02507
464,230,3.04084
465,230,3.04084
466,230,3.04084
467,230,3.05666
468,230,3.05666
469,230,3.07252
470,230,3.10438
471,230,3.10438
472,230,3.12038
473,230,3.12038
474,230,3.12038
475,230,3.12038
476,230,3.12038
477,230,3.12038
478,230,3.12038
479,230,3.12038
480,230,3.12038
481,230,3.12038
482,230,3.12038
483,230,3.10438
484,230,3.10438
485,230,3.08843
486,230,3.08843
487,230,3.10438
488,230,3.10438
489,230,3.10438
490,230,3.10438
491,230,3.10438
492,230,3.12038
493,230,3.12038
494,230,3.12038
495,230,3.13642
496,230,3.13642
497,230,3.15251
498,230,3.16865
499,230,3.16865
500,230,3.18483
501,230,3.20107
502,230,3.21735
503,230,3.21735
504,230,3.23368
505,230,3.23368
506,230,3.23368
507,230,3.25006
508,230,3.26649
509,230,3.28297
510,230,3.28297
511,230,3.2995
512,230,3.31608
513,230,3.31608
514,230,3.33272
515,230,3.3494
516,230,3.36614
517,230,3.36614
518,230,3.38293
519,230,3.39978
520,230,3.41667
521,230,3.45064
522,230,3.502
523,230,3.53652
524,230,3.55387
525,230,3.57128
526,230,3.57128
527,230,3.64153
528,230,3.67702
529,230,3.69486
530,230,3.71277
531,230,3.73074
532,230,3.74878
533,230,3.74878
534,230,3.76688
535,230,3.76688
536,230,3.76688
537,230,3.76688
538,230,3.78505
539,230,3.78505
540,230,3.80329
541,230,3.80329
542,230,3.82159
543,230,3.82159
544,230,3.82159
545,230,3.83997
546,230,3.83997
547,230,3.85842
548,230,3.87694
549,230,3.87694
550,230,3.89553
551,230,3.91419
552,230,3.93292
553,230,3.93292
554,230,3.95173
555,230,3.93292
556,230,4.00862
557,230,4.00862
558,230,3.98958
559,230,4.00862
